"total_CVCases","total_Deaths","total_Recovered","countries_name","countries_totalcases","countries_totaldeaths","countries_recoveries","countries_population","countries_population_url"
"","","","Cuba","2,205","83","1,880","11,326,990","https://www.worldometers.info/world-population/cuba-population/"
"","","","Mayotte","2,175","28","1,654","272,372","https://www.worldometers.info/world-population/mayotte-population/"
"","","","Kyrgyzstan","2,093","26","1,572","6,517,406","https://www.worldometers.info/world-population/kyrgyzstan-population/"
"","","","Estonia","1,958","69","1,690","1,326,486","https://www.worldometers.info/world-population/estonia-population/"
"","","","Maldives","1,942","8","1,010","539,938","https://www.worldometers.info/world-population/maldives-population/"
"","","","CAR","1,888","5","38","4,824,430","https://www.worldometers.info/world-population/central-african-republic-population/"
"","","","Sri Lanka","1,859","11","1,057","21,408,167","https://www.worldometers.info/world-population/sri-lanka-population/"
"","","","Iceland","1,807","10","1,794","341,115","https://www.worldometers.info/world-population/iceland-population/"
"","","","Lithuania","1,733","74","1,369","2,724,095","https://www.worldometers.info/world-population/lithuania-population/"
"","","","South Sudan","1,604","19","15","11,185,781","https://www.worldometers.info/world-population/south-sudan-population/"
"","","","Mali","1,586","94","931","20,210,091","https://www.worldometers.info/world-population/mali-population/"
"","","","Slovakia","1,533","28","1,404","5,459,497","https://www.worldometers.info/world-population/slovakia-population/"
"","","","New Zealand","1,504","22","1,482","",""
"","","","Slovenia","1,486","109","1,359","2,078,922","https://www.worldometers.info/world-population/slovenia-population/"
"","","","Nicaragua","1,464","55","953","6,619,776","https://www.worldometers.info/world-population/nicaragua-population/"
"","","","Guinea-Bissau","1,389","12","153","1,964,886","https://www.worldometers.info/world-population/guinea-bissau-population/"
"","","","Costa Rica","1,375","11","717","5,091,366","https://www.worldometers.info/world-population/costa-rica-population/"
"","","","Lebanon","1,368","30","795","6,827,040","https://www.worldometers.info/world-population/lebanon-population/"
"","","","Equatorial Guinea","1,306","12","200","1,399,659","https://www.worldometers.info/world-population/equatorial-guinea-population/"
"","","","Albania","1,299","34","960","2,877,966","https://www.worldometers.info/world-population/albania-population/"
"","","","Zambia","1,200","10","912","18,348,224","https://www.worldometers.info/world-population/zambia-population/"
"","","","Paraguay","1,187","11","604","7,127,209","https://www.worldometers.info/world-population/paraguay-population/"
"","","","Mauritania","1,162","61","139","4,641,294","https://www.worldometers.info/world-population/mauritania-population/"
"","","","Madagascar","1,138","9","274","27,642,529","https://www.worldometers.info/world-population/madagascar-population/"
"","","","Hong Kong","1,108","4","1,049","7,493,415","https://www.worldometers.info/world-population/china-hong-kong-sar-population/"
"","","","Latvia","1,092","26","794","1,887,219","https://www.worldometers.info/world-population/latvia-population/"
"","","","Tunisia","1,087","49","982","11,811,216","https://www.worldometers.info/world-population/tunisia-population/"
"","","","Sierra Leone","1,025","50","621","7,966,414","https://www.worldometers.info/world-population/sierra-leone-population/"
"","","","Niger","974","65","871","24,141,726","https://www.worldometers.info/world-population/niger-population/"
"","","","Cyprus","972","18","807","1,206,847","https://www.worldometers.info/world-population/cyprus-population/"
"","","","Burkina Faso","891","53","765","20,863,682","https://www.worldometers.info/world-population/burkina-faso-population/"
"","","","Andorra","852","51","757","77,258","https://www.worldometers.info/world-population/andorra-population/"
"","","","Uruguay","846","23","754","3,473,053","https://www.worldometers.info/world-population/uruguay-population/"
"","","","Jordan","845","9","657","10,197,099","https://www.worldometers.info/world-population/jordan-population/"
"","","","Chad","844","71","706","16,392,970","https://www.worldometers.info/world-population/chad-population/"
"","","","Georgia","822","13","690","3,989,577","https://www.worldometers.info/world-population/georgia-population/"
"","","","French Guiana","773","2","427","298,154","https://www.worldometers.info/world-population/french-guiana-population/"
"","","","Congo","728","24","221","5,508,918","https://www.worldometers.info/world-population/congo-population/"
"","","","San Marino","688","42","483","33,927","https://www.worldometers.info/world-population/san-marino-population/"
"","","","Uganda","665","","119","45,637,829","https://www.worldometers.info/world-population/uganda-population/"
"","","","Malta","632","9","597","441,477","https://www.worldometers.info/world-population/malta-population/"
"","","","Sao Tome and Principe","611","12","135","218,898","https://www.worldometers.info/world-population/sao-tome-and-principe-population/"
"","","","Jamaica","605","10","405","2,960,434","https://www.worldometers.info/world-population/jamaica-population/"
"","","","Cabo Verde","585","5","270","555,624","https://www.worldometers.info/world-population/cabo-verde-population/"
"","","","Channel Islands","565","48","512","173,768","https://www.worldometers.info/world-population/channel-islands-population/"
"","","","Yemen","524","127","23","29,782,558","https://www.worldometers.info/world-population/yemen-population/"
"","","","Tanzania","509","21","183","59,615,680","https://www.worldometers.info/world-population/tanzania-population/"
"","","","Togo","501","13","260","8,265,752","https://www.worldometers.info/world-population/togo-population/"
"","","","Palestine","481","3","404","5,093,498","https://www.worldometers.info/world-population/state-of-palestine-population/"
"","","","Réunion","481","1","447","894,941","https://www.worldometers.info/world-population/reunion-population/"
"","","","Rwanda","463","2","300","12,930,513","https://www.worldometers.info/world-population/rwanda-population/"
"","","","Malawi","455","4","55","19,096,245","https://www.worldometers.info/world-population/malawi-population/"
"","","","Mozambique","453","2","136","31,194,658","https://www.worldometers.info/world-population/mozambique-population/"
"","","","Taiwan","443","7","431","23,814,388","https://www.worldometers.info/world-population/taiwan-population/"
"","","","Liberia","383","31","199","5,049,729","https://www.worldometers.info/world-population/liberia-population/"
